MAG,NCBI Accession,,GTDB-Tk Taxonomy (Classify_wf),,,,,,Genome Assembly Statistics (CheckM),,,,,,,,,Assembly,
Bin_ID,BioProject,MAG SRA,Phylum,Class ,Order,Family,Genus,Species,GC ,Genome Size,Contigs,Longest contig,N50 (contigs),Coding density,Predicted genes,Completion,Contamination,Method,Version
563_42,,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,NA,0.532670942,3733241,6,2088235,2088235,0.923043275,3360,100,0.87,CONCOCT,1.0.0
563_maxbin.014,,,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Bauldia,Bauldia litoralis,0.657733344,4959297,40,644338,283371,0.899713205,4764,95.41,1.05,MaxBin2,2.2.7
573_103,,,Pseudomonadota,Alphaproteobacteria,UBA6615,UBA6615,UBA8079,NA,0.627310465,3766395,15,1167809,796031,0.920486035,3553,100,0,CONCOCT,1.0.0
573_22,,,Pseudomonadota,Alphaproteobacteria,Rhodospirillales_A,Casp-alpha2,UBA1479,UBA1479 sp002325375,0.634827759,3976822,12,926450,699483,0.909658013,3728,99.5,0.5,CONCOCT,1.0.0
573_94,,,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,Nonlabens ulvanivorans,0.350467976,3158280,16,1115582,467598,0.927575769,2863,98.54,0.08,CONCOCT,1.0.0
74_49,,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA,0.561616587,2742346,7,1407654,1407654,0.923552681,2641,99.14,0.37,CONCOCT,1.0.0
76_115,,,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gillisia,NA,0.396364809,3570486,25,717094,319317,0.891605232,3267,99.62,0,CONCOCT,1.0.0
76_24,,,Pseudomonadota,Alphaproteobacteria,Rhizobiales,JACESI01,JACESI01,NA,0.465908076,2608785,6,1195933,380890,0.90315645,2424,99.87,0,CONCOCT,1.0.0
76_43,,,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Maricaulaceae,NA,NA,0.473415666,2709340,28,420809,192330,0.906454339,2527,98.81,0.81,CONCOCT,1.0.0
76_74,,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,NA,0.531227111,3727146,9,1139958,915168,0.920352999,3357,100,1.45,CONCOCT,1.0.0
80_12,,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halieaceae,NA,NA,0.581109872,4290008,13,982982,608141,0.932637189,3884,97.56,1.56,CONCOCT,1.0.0
80_83,,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA,0.559860516,3278931,13,1469724,1409634,0.922496082,3127,99.2,12.76,CONCOCT,1.0.0
84_45,,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA,0.554202745,3350310,22,989470,599446,0.913277876,3183,99.25,0.21,CONCOCT,1.0.0
9_64,,,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas sp002414505,0.601787215,4133358,35,518981,191403,0.910465292,4015,99.68,3.08,CONCOCT,1.0.0
9_maxbin.011,,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,Sulfitobacter pontiacus,0.603878948,3625364,66,1179971,682320,0.911112374,3579,99.36,1.54,MaxBin2,2.2.7
91_29,,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,JABSSA01,NA,0.529566033,5005406,43,726804,207075,0.896660131,4943,99.04,1.82,CONCOCT,1.0.0
97_22,,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parasphingorhabdus,NA,0.52594209,3532811,7,1985136,1985136,0.917017638,3439,98.74,0.73,CONCOCT,1.0.0
98_31,,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Litoreibacter,NA,0.518542383,5303013,372,136986,40588,0.873309569,5570,98.79,17.86,CONCOCT,1.0.0
99_17,,,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Stappiaceae,Roseibium,NA,0.573385535,4460116,61,472253,214650,0.887968385,4330,100,0.63,CONCOCT,1.0.0
